accountNumber,amount,clientId,movementTypeId,balance
69291,7743,1,1,8590
61600,9996,2,3,5924
12952,3723,2,2,5702
81748,412,2,1,8066
40147,1393,2,3,9690
78904,9949,1,3,1274
58031,3499,1,3,9113
48298,1250,1,1,3327
72839,803,1,2,5510
90014,70,1,2,6156
79477,6347,1,3,6971
53006,2477,1,2,3454
18481,5465,1,1,717
73673,7289,2,3,248
17909,6100,2,1,6977
23897,1395,2,3,9640
52569,3401,2,1,1274
93876,2322,2,1,7229
48051,5583,2,2,3912
51446,1289,2,3,6740
70117,6186,2,3,2604
29048,8827,2,2,8675
31108,3812,1,2,1573
67192,9071,1,3,4637
54987,3535,1,1,6514
39992,497,1,1,3229
80277,1738,2,2,9379
34569,1381,1,1,1715
84414,3336,1,1,4733
28160,3428,2,2,752
28914,4444,1,2,1500
98099,2900,1,2,6887
53920,3412,2,2,6345
63441,3407,2,1,2641
91825,2172,2,1,1465
96619,1326,1,1,2637
92925,4578,1,1,3548
68563,1893,1,3,5082
82037,2782,1,2,5896
75250,7956,2,2,8419
53423,6657,2,1,8243
77107,4633,2,2,6277
29125,1158,2,1,4174
94150,9019,2,1,4119
60904,5063,2,2,3188
45519,3692,1,2,7228
91903,861,1,2,4778
37028,9790,2,1,9984
59625,9982,2,2,7660
93275,3428,2,1,3433
82495,9159,2,2,1301
98702,5373,2,2,7104
93223,153,2,3,7937
75803,7123,2,3,8235
76450,4257,2,1,6109
19235,9368,2,3,3852
75505,7921,1,2,4514
77294,7957,2,2,4487
20667,2114,1,2,9404
91321,8031,1,2,3797
81474,3296,2,3,9126
75689,7811,1,1,3141
99705,4799,2,3,8966
92249,4909,1,3,9649
63130,8944,1,3,498
23899,7359,1,2,682
91746,9842,2,1,8188
98354,8253,2,3,2636
37205,714,1,2,8212
95837,4359,2,3,8472
44636,1143,2,2,8053
92923,2046,1,1,1209
30463,9951,1,2,642
89091,1113,2,2,2938
85880,4708,1,1,7944
11497,3490,1,2,1945
69475,5786,2,2,722
62320,7320,2,2,4659
51266,3524,1,1,179
50605,3772,1,1,8268
94562,9821,2,3,7256
